date,total_revenue,total_units
2016-01-01,1550512.0,651.0
2016-01-02,2887808.0,953.0
2016-01-03,1430971.0,898.0
2016-01-04,1381814.0,666.0
2016-01-05,1145956.0,687.0
2016-01-06,1043022.0,630.0
2016-01-07,1405797.0,560.0
2016-01-08,1107192.0,670.0
2016-01-09,3193024.0,928.0
2016-01-10,3915877.0,821.0
2016-01-11,1156080.0,684.0
2016-01-12,1235671.0,716.0
2016-01-13,1994961.0,704.0
2016-01-14,1097046.0,651.0
2016-01-15,1946064.0,733.0
2016-01-16,1622460.0,950.0
2016-01-17,2401647.0,962.0
2016-01-18,1176082.0,707.0
2016-01-19,1497331.0,654.0
2016-01-20,1698008.0,680.0
2016-01-21,1140781.0,670.0
2016-01-22,1109850.0,678.0
2016-01-23,1609233.0,928.0
2016-01-24,1980038.0,943.0
2016-01-25,1017464.0,609.0
2016-01-26,1937311.0,624.0
2016-01-27,1356644.0,670.0
2016-01-28,1268072.0,655.0
2016-01-29,1142583.0,680.0
2016-01-30,1545914.0,963.0
2016-01-31,2612865.0,939.0
2016-02-01,1580681.0,660.0
2016-02-02,1509109.0,684.0
2016-02-03,1104232.0,669.0
2016-02-04,1113379.0,672.0
2016-02-05,1096327.0,663.0
2016-02-06,2239670.0,886.0
2016-02-07,1485453.0,779.0
2016-02-08,2346975.0,710.0
2016-02-09,1089967.0,654.0
2016-02-10,1112918.0,677.0
2016-02-11,1075630.0,666.0
2016-02-12,1067015.0,612.0
2016-02-13,3277136.0,886.0
2016-02-14,1594118.0,913.0
2016-02-15,1925557.0,681.0
2016-02-16,1182378.0,625.0
2016-02-17,1089853.0,665.0
2016-02-18,1057959.0,636.0
2016-02-19,1306236.0,678.0
2016-02-20,2460751.0,934.0
2016-02-21,2011804.0,949.0
2016-02-22,2336872.0,698.0
2016-02-23,1187356.0,682.0
2016-02-24,1086408.0,659.0
2016-02-25,2282315.0,623.0
2016-02-26,1094133.0,656.0
2016-02-27,1538878.0,961.0
2016-02-28,2768917.0,916.0
2016-02-29,1088510.0,648.0
2016-03-01,2365993.0,676.0
2016-03-02,1669059.0,646.0
2016-03-03,1370102.0,642.0
2016-03-04,1093135.0,676.0
2016-03-05,2401854.0,935.0
2016-03-06,1542750.0,918.0
2016-03-07,1123315.0,684.0
2016-03-08,1069768.0,639.0
2016-03-09,1021907.0,600.0
2016-03-10,1290636.0,639.0
2016-03-11,1098511.0,650.0
2016-03-12,1461941.0,915.0
2016-03-13,1499972.0,922.0
2016-03-14,1159259.0,681.0
2016-03-15,1071775.0,626.0
2016-03-16,1187064.0,692.0
2016-03-17,1410533.0,658.0
2016-03-18,1665104.0,648.0
2016-03-19,2709875.0,927.0
2016-03-20,2685074.0,958.0
2016-03-21,1152561.0,675.0
2016-03-22,1267099.0,665.0
2016-03-23,1521397.0,683.0
2016-03-24,1189309.0,703.0
2016-03-25,1090464.0,649.0
2016-03-26,1596442.0,951.0
2016-03-27,4296595.0,987.0
2016-03-28,1056414.0,640.0
2016-03-29,1446609.0,673.0
2016-03-30,1576747.0,679.0
2016-03-31,1129947.0,680.0
2016-04-01,1441978.0,647.0
2016-04-02,1483269.0,919.0
2016-04-03,3058479.0,860.0
2016-04-04,1654554.0,680.0
2016-04-05,2501341.0,650.0
2016-04-06,1113340.0,637.0
2016-04-07,1448096.0,663.0
2016-04-08,1344431.0,681.0
2016-04-09,1601245.0,924.0
2016-04-10,1814191.0,879.0
2016-04-11,1652821.0,667.0
2016-04-12,1353373.0,644.0
2016-04-13,2196596.0,676.0
2016-04-14,2073351.0,691.0
2016-04-15,1510964.0,674.0
2016-04-16,2485630.0,924.0
2016-04-17,1594628.0,921.0
2016-04-18,1015011.0,624.0
2016-04-19,919336.0,555.0
2016-04-20,1417141.0,617.0
2016-04-21,1423166.0,643.0
2016-04-22,1086920.0,631.0
2016-04-23,2373583.0,998.0
2016-04-24,1849192.0,948.0
2016-04-25,1731510.0,651.0
2016-04-26,1165828.0,679.0
2016-04-27,1738173.0,650.0
2016-04-28,2225188.0,685.0
2016-04-29,1154344.0,691.0
2016-04-30,1635530.0,971.0
2016-05-01,3066235.0,924.0
2016-05-02,1206196.0,713.0
2016-05-03,1632929.0,680.0
2016-05-04,1073230.0,636.0
2016-05-05,994921.0,580.0
2016-05-06,2556676.0,682.0
2016-05-07,1648927.0,960.0
2016-05-08,1932836.0,920.0
2016-05-09,1609738.0,670.0
2016-05-10,1226879.0,669.0
2016-05-11,1804130.0,699.0
2016-05-12,1053508.0,631.0
2016-05-13,1800896.0,692.0
2016-05-14,1528113.0,908.0
2016-05-15,1641928.0,964.0
2016-05-16,989213.0,602.0
2016-05-17,1105183.0,621.0
2016-05-18,1174126.0,710.0
2016-05-19,1011026.0,583.0
2016-05-20,1041147.0,634.0
2016-05-21,1459257.0,886.0
2016-05-22,1717970.0,964.0
2016-05-23,1135255.0,647.0
2016-05-24,1092655.0,636.0
2016-05-25,2222183.0,663.0
2016-05-26,1186898.0,684.0
2016-05-27,2454029.0,692.0
2016-05-28,1778768.0,894.0
2016-05-29,4159026.0,942.0
2016-05-30,3087797.0,630.0
2016-05-31,1129613.0,672.0
2016-06-01,1263640.0,738.0
2016-06-02,1775562.0,798.0
2016-06-03,1230850.0,730.0
2016-06-04,1747037.0,1016.0
2016-06-05,3028974.0,985.0
2016-06-06,1588691.0,765.0
2016-06-07,1243272.0,737.0
2016-06-08,1331781.0,767.0
