date,temperature,precipitation
2016-01-01,21.7,0.0
2016-01-02,21.5,0.0
2016-01-03,20.1,0.0
2016-01-04,21.2,0.0
2016-01-05,23.4,0.0
2016-01-06,24.4,0.2
2016-01-07,20.8,0.9
2016-01-08,18.6,0.9
2016-01-09,20.7,0.0
2016-01-10,21.6,0.0
2016-01-11,20.0,0.0
2016-01-12,18.4,0.0
2016-01-13,21.8,0.0
2016-01-14,20.8,0.0
2016-01-15,22.0,0.0
2016-01-16,23.4,0.0
2016-01-17,24.8,0.0
2016-01-18,24.8,0.0
2016-01-19,22.5,0.0
2016-01-20,24.0,0.0
2016-01-21,22.5,0.0
2016-01-22,21.7,0.0
2016-01-23,19.9,0.4
2016-01-24,17.5,8.8
2016-01-25,18.3,0.0
2016-01-26,19.5,0.0
2016-01-27,20.2,0.0
2016-01-28,21.8,0.0
2016-01-29,20.7,0.0
2016-01-30,23.4,0.0
2016-01-31,24.1,0.0
2016-02-01,23.5,0.3
2016-02-02,23.0,0.0
2016-02-03,23.2,0.1
2016-02-04,22.0,0.0
2016-02-05,22.4,0.0
2016-02-06,22.3,0.0
2016-02-07,21.3,0.0
2016-02-08,21.4,0.1
2016-02-09,23.7,0.0
2016-02-10,22.4,0.0
2016-02-11,22.0,0.0
2016-02-12,20.9,0.0
2016-02-13,22.3,0.0
2016-02-14,23.7,0.0
2016-02-15,24.6,0.0
2016-02-16,21.3,0.0
2016-02-17,21.0,0.0
2016-02-18,21.3,0.0
2016-02-19,23.3,0.0
2016-02-20,24.9,0.0
2016-02-21,23.5,0.0
2016-02-22,23.6,0.0
2016-02-23,24.5,0.0
2016-02-24,25.1,0.0
2016-02-25,23.8,0.0
2016-02-26,21.1,0.0
2016-02-27,22.9,0.0
2016-02-28,24.3,0.0
2016-02-29,24.2,0.0
2016-03-01,24.2,0.0
2016-03-02,24.3,0.0
2016-03-03,23.4,0.0
2016-03-04,23.4,0.0
2016-03-05,22.8,0.0
2016-03-06,20.5,0.0
2016-03-07,19.3,0.0
2016-03-08,20.4,0.0
2016-03-09,23.1,0.0
2016-03-10,23.6,0.0
2016-03-11,22.5,0.0
2016-03-12,21.5,0.0
2016-03-13,22.5,0.0
2016-03-14,23.2,0.0
2016-03-15,23.0,0.0
2016-03-16,21.9,0.0
2016-03-17,19.1,0.0
2016-03-18,20.8,0.0
2016-03-19,21.3,0.0
2016-03-20,21.3,0.0
2016-03-21,21.0,0.0
2016-03-22,22.1,0.0
2016-03-23,20.0,0.0
2016-03-24,19.7,0.0
2016-03-25,22.1,0.0
2016-03-26,20.9,0.0
2016-03-27,20.7,0.0
2016-03-28,21.1,0.0
2016-03-29,20.3,0.0
2016-03-30,18.1,0.0
2016-03-31,18.8,0.0
